date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2017-11-28,1,1,1,1,2017-11,130.0
2017-11-29,0,0,0,0,2017-11,0.0
2017-11-30,0,0,0,0,2017-11,0.0
2017-12-01,0,0,0,0,2017-12,0.0
2017-12-02,0,0,0,0,2017-12,0.0
2017-12-03,18,1,18,123,2017-12,78.24999999999999
2017-12-04,0,0,0,0,2017-12,0.0
2017-12-05,0,0,0,0,2017-12,0.0
2017-12-06,0,0,0,0,2017-12,0.0
2017-12-07,1,1,1,10,2017-12,0.85
2017-12-08,0,0,0,0,2017-12,0.0
2017-12-09,0,0,0,0,2017-12,0.0
2017-12-10,0,0,0,0,2017-12,0.0
2017-12-11,0,0,0,0,2017-12,0.0
2017-12-12,0,0,0,0,2017-12,0.0
2017-12-13,0,0,0,0,2017-12,0.0
2017-12-14,0,0,0,0,2017-12,0.0
2017-12-15,0,0,0,0,2017-12,0.0
2017-12-16,0,0,0,0,2017-12,0.0
2017-12-17,0,0,0,0,2017-12,0.0
2017-12-18,0,0,0,0,2017-12,0.0
2017-12-19,0,0,0,0,2017-12,0.0
2017-12-20,0,0,0,0,2017-12,0.0
2017-12-21,0,0,0,0,2017-12,0.0
2017-12-22,0,0,0,0,2017-12,0.0
2017-12-23,0,0,0,0,2017-12,0.0
2017-12-24,0,0,0,0,2017-12,0.0
2017-12-25,0,0,0,0,2017-12,0.0
2017-12-26,0,0,0,0,2017-12,0.0
2017-12-27,0,0,0,0,2017-12,0.0
2017-12-28,0,0,0,0,2017-12,0.0
2017-12-29,0,0,0,0,2017-12,0.0
2017-12-30,0,0,0,0,2017-12,0.0
2017-12-31,0,0,0,0,2017-12,0.0
2018-01-01,0,0,0,0,2018-01,0.0
2018-01-02,0,0,0,0,2018-01,0.0
2018-01-03,0,0,0,0,2018-01,0.0
2018-01-04,0,0,0,0,2018-01,0.0
2018-01-05,28,1,28,200,2018-01,121.4
2018-01-06,0,0,0,0,2018-01,0.0
2018-01-07,0,0,0,0,2018-01,0.0
2018-01-08,0,0,0,0,2018-01,0.0
2018-01-09,0,0,0,0,2018-01,0.0
2018-01-10,1,1,1,3,2018-01,9.95
2018-01-11,0,0,0,0,2018-01,0.0
2018-01-12,58,2,57,452,2018-01,203.35999999999999
2018-01-13,0,0,0,0,2018-01,0.0
2018-01-14,0,0,0,0,2018-01,0.0
2018-01-15,0,0,0,0,2018-01,0.0
2018-01-16,0,0,0,0,2018-01,0.0
2018-01-17,0,0,0,0,2018-01,0.0
2018-01-18,0,0,0,0,2018-01,0.0
2018-01-19,0,0,0,0,2018-01,0.0
2018-01-20,0,0,0,0,2018-01,0.0
2018-01-21,0,0,0,0,2018-01,0.0
2018-01-22,0,0,0,0,2018-01,0.0
2018-01-23,7,1,7,45,2018-01,28.5
2018-01-24,0,0,0,0,2018-01,0.0
2018-01-25,0,0,0,0,2018-01,0.0
2018-01-26,0,0,0,0,2018-01,0.0
2018-01-27,0,0,0,0,2018-01,0.0
2018-01-28,0,0,0,0,2018-01,0.0
2018-01-29,0,0,0,0,2018-01,0.0
2018-01-30,0,0,0,0,2018-01,0.0
2018-01-31,0,0,0,0,2018-01,0.0
2018-02-01,0,0,0,0,2018-02,0.0
2018-02-02,0,0,0,0,2018-02,0.0
2018-02-03,0,0,0,0,2018-02,0.0
2018-02-04,11,1,11,87,2018-02,35.95
2018-02-05,0,0,0,0,2018-02,0.0
2018-02-06,0,0,0,0,2018-02,0.0
2018-02-07,0,0,0,0,2018-02,0.0
2018-02-08,0,0,0,0,2018-02,0.0
2018-02-09,0,0,0,0,2018-02,0.0
2018-02-10,0,0,0,0,2018-02,0.0
2018-02-11,0,0,0,0,2018-02,0.0
2018-02-12,51,1,51,460,2018-02,148.92999999999995
2018-02-13,0,0,0,0,2018-02,0.0
2018-02-14,0,0,0,0,2018-02,0.0
2018-02-15,0,0,0,0,2018-02,0.0
2018-02-16,0,0,0,0,2018-02,0.0
2018-02-17,0,0,0,0,2018-02,0.0
2018-02-18,0,0,0,0,2018-02,0.0
2018-02-19,0,0,0,0,2018-02,0.0
2018-02-20,0,0,0,0,2018-02,0.0
2018-02-21,0,0,0,0,2018-02,0.0
2018-02-22,0,0,0,0,2018-02,0.0
2018-02-23,0,0,0,0,2018-02,0.0
2018-02-24,0,0,0,0,2018-02,0.0
2018-02-25,0,0,0,0,2018-02,0.0
2018-02-26,0,0,0,0,2018-02,0.0
2018-02-27,0,0,0,0,2018-02,0.0
2018-02-28,1,1,1,1,2018-02,200.0
2018-03-01,0,0,0,0,2018-03,0.0
2018-03-02,46,2,44,337,2018-03,173.6
2018-03-03,0,0,0,0,2018-03,0.0
2018-03-04,0,0,0,0,2018-03,0.0
2018-03-05,0,0,0,0,2018-03,0.0
2018-03-06,0,0,0,0,2018-03,0.0
2018-03-07,0,0,0,0,2018-03,0.0
2018-03-08,0,0,0,0,2018-03,0.0
2018-03-09,0,0,0,0,2018-03,0.0
2018-03-10,0,0,0,0,2018-03,0.0
2018-03-11,0,0,0,0,2018-03,0.0
2018-03-12,0,0,0,0,2018-03,0.0
2018-03-13,0,0,0,0,2018-03,0.0
2018-03-14,0,0,0,0,2018-03,0.0
2018-03-15,0,0,0,0,2018-03,0.0
2018-03-16,0,0,0,0,2018-03,0.0
2018-03-17,0,0,0,0,2018-03,0.0
2018-03-18,0,0,0,0,2018-03,0.0
2018-03-19,0,0,0,0,2018-03,0.0
2018-03-20,0,0,0,0,2018-03,0.0
2018-03-21,0,0,0,0,2018-03,0.0
2018-03-22,0,0,0,0,2018-03,0.0
2018-03-23,0,0,0,0,2018-03,0.0
2018-03-24,0,0,0,0,2018-03,0.0
2018-03-25,0,0,0,0,2018-03,0.0
2018-03-26,0,0,0,0,2018-03,0.0
2018-03-27,0,0,0,0,2018-03,0.0
2018-03-28,0,0,0,0,2018-03,0.0
2018-03-29,14,1,14,85,2018-03,63.370000000000005
2018-03-30,0,0,0,0,2018-03,0.0
2018-03-31,0,0,0,0,2018-03,0.0
2018-04-01,0,0,0,0,2018-04,0.0
2018-04-02,0,0,0,0,2018-04,0.0
2018-04-03,0,0,0,0,2018-04,0.0
2018-04-04,0,0,0,0,2018-04,0.0
2018-04-05,0,0,0,0,2018-04,0.0
2018-04-06,0,0,0,0,2018-04,0.0
2018-04-07,0,0,0,0,2018-04,0.0
2018-04-08,0,0,0,0,2018-04,0.0
2018-04-09,1,1,1,1,2018-04,8.5
2018-04-10,0,0,0,0,2018-04,0.0
2018-04-11,0,0,0,0,2018-04,0.0
2018-04-12,0,0,0,0,2018-04,0.0
2018-04-13,52,1,52,445,2018-04,136.82000000000002
2018-04-14,0,0,0,0,2018-04,0.0
2018-04-15,17,1,17,168,2018-04,54.35
2018-04-16,0,0,0,0,2018-04,0.0
2018-04-17,0,0,0,0,2018-04,0.0
2018-04-18,1,1,1,2,2018-04,12.75
2018-04-19,0,0,0,0,2018-04,0.0
2018-04-20,0,0,0,0,2018-04,0.0
2018-04-21,0,0,0,0,2018-04,0.0
2018-04-22,0,0,0,0,2018-04,0.0
2018-04-23,0,0,0,0,2018-04,0.0
2018-04-24,0,0,0,0,2018-04,0.0
2018-04-25,32,1,32,286,2018-04,100.06
2018-04-26,0,0,0,0,2018-04,0.0
2018-04-27,0,0,0,0,2018-04,0.0
2018-04-28,0,0,0,0,2018-04,0.0
2018-04-29,0,0,0,0,2018-04,0.0
2018-04-30,0,0,0,0,2018-04,0.0
2018-05-01,0,0,0,0,2018-05,0.0
2018-05-02,1,1,1,1,2018-05,1.65
2018-05-03,0,0,0,0,2018-05,0.0
2018-05-04,0,0,0,0,2018-05,0.0
2018-05-05,0,0,0,0,2018-05,0.0
2018-05-06,6,1,6,38,2018-05,27.149999999999995
2018-05-07,0,0,0,0,2018-05,0.0
2018-05-08,0,0,0,0,2018-05,0.0
2018-05-09,0,0,0,0,2018-05,0.0
2018-05-10,0,0,0,0,2018-05,0.0
2018-05-11,0,0,0,0,2018-05,0.0
2018-05-12,0,0,0,0,2018-05,0.0
2018-05-13,0,0,0,0,2018-05,0.0
2018-05-14,0,0,0,0,2018-05,0.0
2018-05-15,0,0,0,0,2018-05,0.0
2018-05-16,0,0,0,0,2018-05,0.0
2018-05-17,0,0,0,0,2018-05,0.0
2018-05-18,0,0,0,0,2018-05,0.0
2018-05-19,0,0,0,0,2018-05,0.0
2018-05-20,0,0,0,0,2018-05,0.0
2018-05-21,0,0,0,0,2018-05,0.0
2018-05-22,0,0,0,0,2018-05,0.0
2018-05-23,0,0,0,0,2018-05,0.0
2018-05-24,0,0,0,0,2018-05,0.0
2018-05-25,0,0,0,0,2018-05,0.0
2018-05-26,0,0,0,0,2018-05,0.0
2018-05-27,0,0,0,0,2018-05,0.0
2018-05-28,0,0,0,0,2018-05,0.0
2018-05-29,0,0,0,0,2018-05,0.0
2018-05-30,0,0,0,0,2018-05,0.0
2018-05-31,26,1,26,218,2018-05,83.33
2018-06-01,0,0,0,0,2018-06,0.0
2018-06-02,0,0,0,0,2018-06,0.0
2018-06-03,0,0,0,0,2018-06,0.0
2018-06-04,0,0,0,0,2018-06,0.0
2018-06-05,0,0,0,0,2018-06,0.0
2018-06-06,0,0,0,0,2018-06,0.0
2018-06-07,0,0,0,0,2018-06,0.0
2018-06-08,0,0,0,0,2018-06,0.0
2018-06-09,0,0,0,0,2018-06,0.0
2018-06-10,0,0,0,0,2018-06,0.0
2018-06-11,0,0,0,0,2018-06,0.0
2018-06-12,0,0,0,0,2018-06,0.0
2018-06-13,0,0,0,0,2018-06,0.0
2018-06-14,16,1,16,49,2018-06,164.35
2018-06-15,0,0,0,0,2018-06,0.0
2018-06-16,0,0,0,0,2018-06,0.0
2018-06-17,0,0,0,0,2018-06,0.0
2018-06-18,0,0,0,0,2018-06,0.0
2018-06-19,0,0,0,0,2018-06,0.0
2018-06-20,18,1,18,139,2018-06,60.79
2018-06-21,0,0,0,0,2018-06,0.0
2018-06-22,0,0,0,0,2018-06,0.0
2018-06-23,0,0,0,0,2018-06,0.0
2018-06-24,0,0,0,0,2018-06,0.0
2018-06-25,1,1,1,4,2018-06,9.95
2018-06-26,76,4,73,694,2018-06,419.79999999999995
2018-06-27,1,1,1,2,2018-06,1.25
2018-06-28,0,0,0,0,2018-06,0.0
2018-06-29,0,0,0,0,2018-06,0.0
2018-06-30,0,0,0,0,2018-06,0.0
2018-07-01,0,0,0,0,2018-07,0.0
2018-07-02,0,0,0,0,2018-07,0.0
2018-07-03,11,1,11,92,2018-07,36.89999999999999
2018-07-04,0,0,0,0,2018-07,0.0
2018-07-05,21,1,21,236,2018-07,33.31
2018-07-06,0,0,0,0,2018-07,0.0
2018-07-07,0,0,0,0,2018-07,0.0
2018-07-08,0,0,0,0,2018-07,0.0
2018-07-09,0,0,0,0,2018-07,0.0
2018-07-10,0,0,0,0,2018-07,0.0
2018-07-11,0,0,0,0,2018-07,0.0
2018-07-12,0,0,0,0,2018-07,0.0
2018-07-13,0,0,0,0,2018-07,0.0
2018-07-14,0,0,0,0,2018-07,0.0
2018-07-15,0,0,0,0,2018-07,0.0
2018-07-16,31,2,31,285,2018-07,104.15999999999998
2018-07-17,0,0,0,0,2018-07,0.0
2018-07-18,11,1,11,99,2018-07,40.84
2018-07-19,0,0,0,0,2018-07,0.0
2018-07-20,0,0,0,0,2018-07,0.0
2018-07-21,0,0,0,0,2018-07,0.0
2018-07-22,20,1,20,141,2018-07,64.67
2018-07-23,0,0,0,0,2018-07,0.0
2018-07-24,0,0,0,0,2018-07,0.0
2018-07-25,0,0,0,0,2018-07,0.0
2018-07-26,10,1,10,100,2018-07,32.97
2018-07-27,0,0,0,0,2018-07,0.0
2018-07-28,0,0,0,0,2018-07,0.0
2018-07-29,0,0,0,0,2018-07,0.0
2018-07-30,16,1,16,127,2018-07,56.190000000000005
2018-07-31,0,0,0,0,2018-07,0.0
2018-08-01,0,0,0,0,2018-08,0.0
2018-08-02,0,0,0,0,2018-08,0.0
2018-08-03,0,0,0,0,2018-08,0.0
2018-08-04,0,0,0,0,2018-08,0.0
2018-08-05,0,0,0,0,2018-08,0.0
2018-08-06,0,0,0,0,2018-08,0.0
2018-08-07,0,0,0,0,2018-08,0.0
2018-08-08,0,0,0,0,2018-08,0.0
2018-08-09,0,0,0,0,2018-08,0.0
2018-08-10,0,0,0,0,2018-08,0.0
2018-08-11,0,0,0,0,2018-08,0.0
2018-08-12,0,0,0,0,2018-08,0.0
2018-08-13,0,0,0,0,2018-08,0.0
2018-08-14,0,0,0,0,2018-08,0.0
2018-08-15,0,0,0,0,2018-08,0.0
2018-08-16,0,0,0,0,2018-08,0.0
2018-08-17,0,0,0,0,2018-08,0.0
2018-08-18,0,0,0,0,2018-08,0.0
2018-08-19,17,1,17,155,2018-08,53.45
2018-08-20,0,0,0,0,2018-08,0.0
2018-08-21,0,0,0,0,2018-08,0.0
2018-08-22,0,0,0,0,2018-08,0.0
2018-08-23,0,0,0,0,2018-08,0.0
2018-08-24,0,0,0,0,2018-08,0.0
2018-08-25,0,0,0,0,2018-08,0.0
2018-08-26,0,0,0,0,2018-08,0.0
2018-08-27,0,0,0,0,2018-08,0.0
2018-08-28,45,1,45,420,2018-08,127.05999999999999
2018-08-29,0,0,0,0,2018-08,0.0
2018-08-30,0,0,0,0,2018-08,0.0
2018-08-31,6,1,6,60,2018-08,23.25
2018-09-01,0,0,0,0,2018-09,0.0
2018-09-02,0,0,0,0,2018-09,0.0
2018-09-03,0,0,0,0,2018-09,0.0
2018-09-04,0,0,0,0,2018-09,0.0
2018-09-05,0,0,0,0,2018-09,0.0
2018-09-06,18,1,18,115,2018-09,78.86
2018-09-07,0,0,0,0,2018-09,0.0
2018-09-08,0,0,0,0,2018-09,0.0
2018-09-09,0,0,0,0,2018-09,0.0
2018-09-10,0,0,0,0,2018-09,0.0
2018-09-11,0,0,0,0,2018-09,0.0
2018-09-12,25,2,21,235,2018-09,64.24
2018-09-13,0,0,0,0,2018-09,0.0
2018-09-14,0,0,0,0,2018-09,0.0
2018-09-15,0,0,0,0,2018-09,0.0
2018-09-16,0,0,0,0,2018-09,0.0
2018-09-17,17,1,17,100,2018-09,87.55
2018-09-18,0,0,0,0,2018-09,0.0
2018-09-19,0,0,0,0,2018-09,0.0
2018-09-20,0,0,0,0,2018-09,0.0
2018-09-21,0,0,0,0,2018-09,0.0
2018-09-22,0,0,0,0,2018-09,0.0
2018-09-23,0,0,0,0,2018-09,0.0
2018-09-24,0,0,0,0,2018-09,0.0
2018-09-25,1,1,1,3,2018-09,0.85
2018-09-26,0,0,0,0,2018-09,0.0
2018-09-27,0,0,0,0,2018-09,0.0
2018-09-28,0,0,0,0,2018-09,0.0
2018-09-29,0,0,0,0,2018-09,0.0
2018-09-30,0,0,0,0,2018-09,0.0
2018-10-01,0,0,0,0,2018-10,0.0
